Store_ID,City,Sales,Customer_Count,Coupon_Code_Usage,Coupon_Discount,Stock_Shortage_Flag,Customer_Complaints,Inventory_Level,Month,Year
52,Jaipur,246513,877,744,85,0,48,8935,April,2023
93,Bangalore,396699,1139,972,133,1,46,7093,August,2024
15,Chennai,385842,810,925,423,0,83,6355,July,2023
72,Pune,436594,500,928,312,0,81,10083,January,2024
61,Surat,298320,1917,588,359,0,17,6574,May,2023
21,Chennai,186487,1080,115,434,0,65,14324,July,2023
83,Mumbai,217231,1209,665,221,0,67,3257,April,2024
87,Hyderabad,93925,349,917,425,0,93,14411,January,2024
75,Chennai,187023,490,102,222,0,32,16233,September,2024
75,Jaipur,137388,1905,193,411,0,35,16887,May,2024
88,Jaipur,58007,434,165,96,0,81,3005,November,2024
100,Chennai,307802,728,870,428,0,18,19400,February,2023
24,Kolkata,485048,1642,89,190,0,27,11860,August,2023
3,Hyderabad,108596,236,685,424,0,39,11070,November,2023
22,Mumbai,433245,982,121,455,1,83,10388,February,2024
53,Chennai,473739,787,142,167,0,96,19156,March,2024
2,Kolkata,401005,1963,993,326,0,75,19135,October,2024
88,Jaipur,305266,1621,105,263,0,14,15609,January,2024
30,Jaipur,398884,926,886,269,1,40,17363,November,2024
38,Pune,65524,826,427,442,0,38,17923,February,2024
2,Chennai,462498,1600,304,75,0,1,15823,July,2023
64,Hyderabad,205002,693,871,58,1,62,18845,October,2023
60,Delhi,443293,1346,970,320,0,28,9547,February,2023
21,Hyderabad,175501,1089,316,59,0,73,12515,June,2023
33,Jaipur,332755,471,962,427,0,65,1234,March,2023
76,Jaipur,198056,1034,634,170,0,50,15562,April,2024
58,Bangalore,64060,1094,901,174,1,74,18932,November,2024
22,Jaipur,264057,501,8,219,0,76,8480,August,2024
89,Mumbai,355447,1566,773,121,0,9,5213,March,2024
49,Ahmedabad,240279,1613,72,201,0,13,11293,October,2024
91,Chennai,256118,714,358,257,0,81,2673,June,2024
59,Hyderabad,210359,1396,222,98,0,50,3100,January,2023
42,Ahmedabad,89711,1649,415,203,0,72,12849,July,2024
92,Kolkata,193026,1282,552,396,0,38,19199,August,2024
60,Delhi,385484,1275,369,342,0,27,4841,November,2024
80,Mumbai,268134,1094,715,117,0,2,11197,August,2024
15,Hyderabad,152974,719,263,99,0,83,9016,March,2023
62,Ahmedabad,199646,287,839,201,0,69,8011,October,2023
62,Delhi,452400,1936,689,68,0,26,5493,January,2024
47,Bangalore,200168,1221,859,149,1,1,18058,September,2023
62,Mumbai,117728,230,317,109,0,92,9578,June,2023
51,Mumbai,215088,904,83,216,0,37,3158,November,2024
55,Bangalore,61246,1294,317,251,0,2,3064,September,2024
64,Chennai,488774,1035,110,394,0,15,4253,July,2024
3,Bangalore,461597,1085,250,195,0,93,13828,January,2024
51,Mumbai,439940,282,382,452,0,39,2401,December,2024
7,Mumbai,479671,1082,6,213,0,1,16193,December,2023
21,Ahmedabad,142263,463,458,488,0,80,13096,January,2024
73,Jaipur,447234,138,83,291,0,40,5214,June,2024
39,Delhi,61302,1650,207,118,0,11,12023,May,2024
18,Bangalore,379650,596,899,224,0,34,12950,September,2023
4,Delhi,91157,1639,389,98,1,64,11704,February,2024
89,Bangalore,104917,1472,313,157,0,54,11343,August,2024
60,Kolkata,273810,1081,21,275,0,44,12867,November,2024
14,Mumbai,146646,1020,409,210,0,78,3745,May,2023
9,Jaipur,395266,1520,894,168,1,89,4866,February,2024
90,Ahmedabad,336663,821,514,198,0,84,12956,October,2024
53,Jaipur,393054,1284,126,199,1,61,6818,November,2024
2,Jaipur,432574,115,808,481,0,48,19606,November,2023
84,Jaipur,383468,592,699,342,0,94,17093,December,2024
92,Delhi,317552,1549,873,192,1,24,16493,June,2024
60,Bangalore,109379,1231,13,468,0,22,18908,October,2024
71,Surat,75053,993,970,209,0,23,9224,August,2023
44,Kolkata,452662,1573,977,60,0,37,5025,April,2024
8,Hyderabad,181994,410,11,187,1,27,19950,February,2024
47,Jaipur,148723,838,86,127,0,20,7155,December,2024
35,Chennai,101356,1293,523,126,0,53,14839,November,2023
78,Delhi,322933,645,908,490,0,17,1719,May,2023
81,Ahmedabad,409864,513,536,303,0,35,15890,December,2024
36,Hyderabad,378800,350,300,458,0,98,18356,February,2023
50,Surat,356172,858,242,307,1,44,19591,February,2023
